qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
Os01g0101200	BP	0016311	dephosphorylation	6.16511945099	0.665226642552	13
Os01g0101200	MF	0016829	lyase activity	0.0547658181571	0.33867984601	14
Os01g0101600	MF	0003723	RNA binding	3.57666833319	0.579303425935	1
Os01g0101600	MF	0046872	metal ion binding	2.59144035344	0.538442252554	2
Os01g0101700	BP	0061077	chaperone-mediated protein folding	9.66995608625	0.756221949593	1
Os01g0101700	CC	0009507	chloroplast	5.26582799318	0.63789613175	1
Os01g0101700	MF	0005515	protein binding	0.431723366465	0.40010461731	1
Os01g0101700	BP	1902395	regulation of 1-deoxy-D-xylulose-5-phosphate synthase activity	2.57804734065	0.537837459892	3
Os01g0101700	BP	0010322	regulation of isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	2.48417059723	0.53355337679	4
Os01g0101700	MF	0008270	zinc ion binding	0.147723063119	0.36050726878	4
Os01g0101700	MF	0005524	ATP binding	0.0863460814096	0.347366589836	6
Os01g0101700	CC	0005634	nucleus	0.455406884856	0.402686537696	9
Os01g0101700	CC	0016021	integral component of membrane	0.0732386535586	0.34399495467	10
Os01g0101700	BP	0009408	response to heat	0.266217732035	0.379617815593	28
Os01g0101700	BP	0006260	DNA replication	0.171136289475	0.364767239294	31
Os01g0102000	MF	0016788	hydrolase activity, acting on ester bonds	4.35567424411	0.607736061081	1
Os01g0102000	BP	0009395	phospholipid catabolic process	3.10177081239	0.560423988137	1
Os01g0102000	CC	0009507	chloroplast	1.11537752959	0.45804780426	1
Os01g0102000	BP	0048229	gametophyte development	2.60890955555	0.539228771191	2
Os01g0102000	BP	0048364	root development	2.52625966724	0.535483954414	3
Os01g0102000	CC	0005576	extracellular region	0.0756303493439	0.344631412202	9
Os01g0102000	CC	0016021	integral component of membrane	0.0311046053603	0.330308194763	10
Os01g0102300	CC	0009543	chloroplast thylakoid lumen	16.3297540528	0.858542724978	1
Os01g0102300	CC	0005829	cytosol	0.64234374198	0.421072500213	16
Os01g0102400	MF	0046982	protein heterodimerization activity	9.49796713366	0.752188570801	1
Os01g0102400	BP	0045944	positive regulation of transcription by RNA polymerase II	0.0772333316908	0.345052365747	1
Os01g0102400	CC	0005634	nucleus	0.0337656512298	0.331381127703	1
Os01g0102400	MF	0003677	DNA binding	3.22836809314	0.565590424589	4
Os01g0102400	MF	0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	0.096916052747	0.349902710281	9
Os01g0102600	MF	0016301	kinase activity	4.34143804229	0.607240430196	1
Os01g0102600	BP	0016310	phosphorylation	3.92407649599	0.592330773263	1
Os01g0102600	CC	0009507	chloroplast	0.385575395354	0.394861529952	1
Os01g0102700	CC	0005783	endoplasmic reticulum	4.17523446204	0.601392829662	1
Os01g0102700	CC	0042175	nuclear outer membrane-endoplasmic reticulum membrane network	3.26888766872	0.567222550413	5
Os01g0102700	CC	0031984	organelle subcompartment	2.70629069126	0.543565725661	6
Os01g0102700	CC	0031090	organelle membrane	2.4041198308	0.529835858001	7
Os01g0102700	CC	0009506	plasmodesma	2.18726866226	0.519442340252	8
Os01g0102700	CC	0005773	vacuole	1.48490172033	0.481635701219	15
Os01g0102700	CC	0005794	Golgi apparatus	1.26355935547	0.467916642637	17
Os01g0102700	CC	0016021	integral component of membrane	0.860562869362	0.439396998472	22
Os01g0102800	MF	0070615	nucleosome-dependent ATPase activity	9.75913092341	0.758299104522	1
Os01g0102800	BP	0006283	transcription-coupled nucleotide-excision repair	2.88684583922	0.551405262007	1
Os01g0102800	CC	0005634	nucleus	1.04233862485	0.452941920257	1
Os01g0102800	MF	0005524	ATP binding	3.02266882748	0.557142167231	3
Os01g0102800	MF	0008094	ATPase, acting on DNA	1.54611625199	0.485245924311	16
Os01g0102800	MF	0003677	DNA binding	0.482337865739	0.405542196113	22
Os01g0102800	MF	0016787	hydrolase activity	0.37125842867	0.393171782518	23
Os01g0102900	CC	0009507	chloroplast	5.39167675701	0.64185417354	1
Os01g0102900	BP	0007623	circadian rhythm	1.61049007378	0.488966184215	1
Os01g0102900	MF	0008373	sialyltransferase activity	0.0558916410991	0.339027331748	1
Os01g0102900	MF	0008270	zinc ion binding	0.0457043890892	0.335741705226	2
Os01g0102900	BP	0071482	cellular response to light stimulus	1.35624793888	0.473797100937	3
Os01g0102900	CC	0009532	plastid stroma	1.21835580819	0.464970534529	10
Os01g0102900	BP	0007034	vacuolar transport	0.127812564307	0.356610282274	12
Os01g0102900	BP	0009846	pollen germination	0.0713188874079	0.343476525837	13
Os01g0102900	CC	0055035	plastid thylakoid membrane	0.987136235993	0.448963067862	14
Os01g0102900	BP	0009860	pollen tube growth	0.0704564985675	0.34324136969	14
Os01g0102900	BP	0097503	sialylation	0.0543327491932	0.338545228978	21
Os01g0102900	CC	0098796	membrane protein complex	0.624780042359	0.419470478017	23
Os01g0102900	CC	0005768	endosome	0.102739936172	0.351241059119	29
Os01g0102900	BP	0006486	protein glycosylation	0.0375580389671	0.332839609767	31
Os01g0102900	CC	0000139	Golgi membrane	0.0361309331794	0.3322998172	34
Os01g0102900	CC	0016021	integral component of membrane	0.0200328485092	0.325251237102	38
Os01g0103000	BP	0007034	vacuolar transport	10.4528746613	0.774144751382	1
Os01g0103000	CC	0005768	endosome	8.40236389385	0.725588790619	1
Os01g0103000	MF	0005515	protein binding	0.301266400157	0.38439699847	1
Os01g0103000	BP	0032509	endosome transport via multivesicular body sorting pathway	0.721723773014	0.428053683266	7
Os01g0103000	BP	0006900	vesicle budding from membrane	0.716861941814	0.427637500356	8
Os01g0103000	CC	0012506	vesicle membrane	0.468111651326	0.404043931216	17
Os01g0103000	CC	0098588	bounding membrane of organelle	0.390920761676	0.395484349176	18
Os01g0103000	BP	0015031	protein transport	0.317158626389	0.386472049054	18
Os01g0103100	BP	0006857	oligopeptide transport	10.1210884277	0.766634315855	1
Os01g0103100	MF	0022857	transmembrane transporter activity	3.38340749933	0.57178147754	1
Os01g0103100	CC	0016021	integral component of membrane	0.900378948995	0.4424778117	1
Os01g0103100	BP	0055085	transmembrane transport	2.77595317186	0.54662050711	6
Os01g0103600	MF	0047750	cholestenol delta-isomerase activity	13.1024586929	0.830285065161	1
Os01g0103600	BP	0016125	sterol metabolic process	9.31373121542	0.747827259107	1
Os01g0103600	CC	0005789	endoplasmic reticulum membrane	6.28761495265	0.668790699622	1
Os01g0103600	MF	0000247	C-8 sterol isomerase activity	3.90878624688	0.591769846543	5
Os01g0103600	MF	0004769	steroid delta-isomerase activity	2.60279030347	0.538953563643	6
Os01g0103600	BP	0006694	steroid biosynthetic process	1.56289344356	0.486222849764	7
Os01g0103600	BP	1901617	organic hydroxy compound biosynthetic process	1.21991931698	0.465073338671	8
Os01g0103600	CC	0016021	integral component of membrane	0.774741227047	0.432504148131	14
Os01g0103600	BP	0006952	defense response	0.0686776305734	0.342751717865	16
Os01g0103600	CC	0005886	plasma membrane	0.222969861036	0.373262981988	17
Os01g0104000	MF	0004713	protein tyrosine kinase activity	9.15545427884	0.744045887404	1
Os01g0104000	BP	0018108	peptidyl-tyrosine phosphorylation	8.86707272841	0.737071193555	1
Os01g0104000	CC	0016021	integral component of membrane	0.885979270346	0.44137163713	1
Os01g0104000	MF	0030246	carbohydrate binding	7.43506795086	0.700621501071	2
Os01g0104000	CC	0005886	plasma membrane	0.273911816319	0.380692721888	4
Os01g0104000	MF	0005524	ATP binding	3.0228189215	0.557148434804	8
Os01g0104000	MF	0106310	protein serine kinase activity	0.311768272948	0.385774181891	27
Os01g0104000	MF	0106311	protein threonine kinase activity	0.311234326128	0.385704726696	28
Os01g0104000	MF	0019199	transmembrane receptor protein kinase activity	0.189355754032	0.367883818629	31
Os01g0104100	BP	1902551	regulation of catalase activity	14.1461456668	0.845693763869	1
Os01g0104100	CC	0005829	cytosol	4.85685574429	0.624695756114	1
Os01g0104100	MF	0016874	ligase activity	1.39466973111	0.476175589306	1
Os01g0104100	CC	0005634	nucleus	2.91254036472	0.552500736502	2
Os01g0104100	BP	2000470	positive regulation of peroxidase activity	13.7563519594	0.843240359317	3
Os01g0104100	BP	0035556	intracellular signal transduction	1.66175883426	0.491876194996	16
Os01g0104200	BP	0006355	regulation of transcription, DNA-templated	3.32204745226	0.569348558126	1
Os01g0104200	MF	0003677	DNA binding	3.06511038737	0.558908270718	1
Os01g0104200	CC	0005634	nucleus	0.0466879210301	0.336073927178	1
Os01g0104200	BP	0048731	system development	0.226812988353	0.373851336256	19
Os01g0104500	BP	0006355	regulation of transcription, DNA-templated	3.15807494914	0.562734533495	1
Os01g0104500	MF	0003677	DNA binding	2.91382000703	0.552555166904	1
Os01g0104500	CC	0005783	endoplasmic reticulum	0.49839767092	0.407207258435	1
Os01g0104500	CC	0005634	nucleus	0.468401036674	0.404074633545	2
Os01g0104500	MF	0042803	protein homodimerization activity	1.06725743565	0.454703437314	5
Os01g0104500	CC	0016021	integral component of membrane	0.0100944746244	0.319288427341	10
Os01g0104500	MF	0001067	transcription regulatory region nucleic acid binding	0.035514811812	0.332063482929	11
Os01g0104500	MF	0003700	DNA-binding transcription factor activity	0.0175380515678	0.323929026047	15
Os01g0104500	BP	2000014	regulation of endosperm development	1.98196539668	0.50911588915	19
Os01g0104500	BP	1903508	positive regulation of nucleic acid-templated transcription	0.815575874108	0.43582901577	22
Os01g0104500	BP	1901406	positive regulation of tetrapyrrole catabolic process	0.0899771794122	0.348254477068	36
Os01g0104500	BP	0010271	regulation of chlorophyll catabolic process	0.0745888453945	0.344355511736	39
Os01g0104500	BP	1900057	positive regulation of leaf senescence	0.0732190319552	0.343989690499	40
Os01g0104600	BP	0005975	carbohydrate metabolic process	3.32371920828	0.56941513938	1
Os01g0104600	MF	1990756	ubiquitin ligase-substrate adaptor activity	2.2180177404	0.52094651845	1
Os01g0104600	CC	0031461	cullin-RING ubiquitin ligase complex	1.37963229956	0.475248652756	1
Os01g0104600	BP	0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	1.84955029261	0.502169346485	2
Os01g0104600	MF	0031625	ubiquitin protein ligase binding	1.56627307313	0.486419007954	2
Os01g0104600	CC	0005634	nucleus	1.36528556004	0.474359571123	2
Os01g0104600	CC	0016021	integral component of membrane	0.0219620270109	0.326218045774	13
Os01g0104600	BP	0006281	DNA repair	1.22443003294	0.465369559536	17
Os01g0104600	BP	0016567	protein ubiquitination	1.04188933872	0.452909967963	26
Os01g0104600	BP	0009585	red, far-red light phototransduction	0.397980737208	0.396300457432	58
Os01g0104800	BP	0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9.02396576665	0.74087958597	1
Os01g0104800	CC	0032040	small-subunit processome	7.94096343394	0.713869463323	1
Os01g0104800	CC	0005730	nucleolus	7.54070025376	0.703424071355	2
Os01g0104900	MF	0016747	acyltransferase activity, transferring groups other than amino-acyl groups	5.52528596489	0.64600605768	1
Os01g0105700	MF	0046983	protein dimerization activity	6.95661676588	0.68767079463	1
Os01g0105700	CC	0005634	nucleus	3.38179327723	0.571717757716	1
Os01g0105700	BP	0006357	regulation of transcription by RNA polymerase II	0.969661540228	0.447680463837	1
Os01g0105700	MF	0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	1.46985244816	0.480736808534	3
Os01g0105700	MF	0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	1.11696060348	0.458156590219	9
Os01g0105800	BP	0016226	iron-sulfur cluster assembly	8.24581294659	0.721649402429	1
Os01g0105800	MF	0051536	iron-sulfur cluster binding	5.32121526747	0.639643867436	1
Os01g0105800	CC	0005739	mitochondrion	0.865896618474	0.43981377814	1
Os01g0105800	MF	0046872	metal ion binding	0.0465063505269	0.336012860751	5
Os01g0105800	BP	0097428	protein maturation by iron-sulfur cluster transfer	2.28207285001	0.524046833074	8
Os01g0105900	MF	0016301	kinase activity	3.7068693885	0.584256927284	1
Os01g0105900	BP	0016310	phosphorylation	3.35051171972	0.570479932665	1
Os01g0105900	CC	0015935	small ribosomal subunit	0.592718800864	0.416486914204	1
Os01g0105900	MF	0016773	phosphotransferase activity, alcohol group as acceptor	3.07780621162	0.559434197688	3
Os01g0105900	BP	0046031	ADP metabolic process	0.512616736457	0.408659218732	9
Os01g0105900	MF	0003735	structural constituent of ribosome	0.290508376538	0.382961099678	9
Os01g0105900	CC	0016021	integral component of membrane	0.0629714939669	0.341136664586	11
Os01g0105900	BP	0006090	pyruvate metabolic process	0.470182487495	0.40426342798	16
Os01g0105900	BP	0016052	carbohydrate catabolic process	0.433335338513	0.400282562611	17
Os01g0105900	BP	0046034	ATP metabolic process	0.333458191726	0.388546958171	24
Os01g0105900	BP	0006091	generation of precursor metabolites and energy	0.27730126824	0.381161452578	31
Os01g0105900	BP	0006412	translation	0.266549622467	0.379664500615	33
Os01g0106300	MF	0016491	oxidoreductase activity	1.76515593046	0.497611516214	1
Os01g0106300	BP	0009806	lignan metabolic process	1.1590245483	0.4610194195	1
Os01g0106300	CC	0016021	integral component of membrane	0.390669101768	0.395455122717	1
Os01g0106300	BP	0009699	phenylpropanoid biosynthetic process	0.78077970771	0.433001246326	3
Os01g0106300	BP	0046686	response to cadmium ion	0.772869062914	0.432349635206	4
Os01g0106700	MF	0106310	protein serine kinase activity	8.09397524156	0.71779273024	1
Os01g0106700	BP	0006974	cellular response to DNA damage stimulus	5.43511090752	0.643209469096	1
Os01g0106700	CC	0005634	nucleus	3.87727839196	0.590610502481	1
Os01g0106700	MF	0106311	protein threonine kinase activity	8.08011317566	0.717438839082	2
Os01g0106700	BP	0006468	protein phosphorylation	5.29259974004	0.63874205128	2
Os01g0106700	CC	0016021	integral component of membrane	0.0276870934752	0.328860465625	7
Os01g0106700	BP	0006259	DNA metabolic process	3.91418587559	0.59196805841	9
Os01g0106700	MF	0005524	ATP binding	2.94775411857	0.553994239789	9
Os01g0106700	BP	1904262	negative regulation of TORC1 signaling	1.7366612513	0.496048108503	23
Os01g0106700	BP	2001020	regulation of response to DNA damage stimulus	1.53300213173	0.484478600682	26
Os01g0106700	MF	0003950	NAD+ ADP-ribosyltransferase activity	0.0430497458986	0.334826724262	27
Os01g0106700	BP	0031570	DNA integrity checkpoint signaling	1.29573739541	0.469981830026	33
Os01g0106700	BP	0032200	telomere organization	1.20629877188	0.464175531852	39
Os01g0106700	BP	0060249	anatomical structure homeostasis	1.16588601885	0.461481445238	42
Os01g0106700	BP	0008380	RNA splicing	1.0755957859	0.455288276363	47
Os01g0106800	MF	0008270	zinc ion binding	5.17118572359	0.63488830303	1
Os01g0106800	CC	0031461	cullin-RING ubiquitin ligase complex	1.55013454865	0.485480388026	1
Os01g0106800	BP	0006511	ubiquitin-dependent protein catabolic process	1.25144358204	0.467132247715	1
Os01g0106800	MF	0097602	cullin family protein binding	2.13932203896	0.517075639187	5
Os01g0106800	BP	0016567	protein ubiquitination	1.17065152819	0.461801537214	6
Os01g0106800	CC	0005634	nucleus	0.621659241156	0.419183477619	6
Os01g0106800	MF	0061630	ubiquitin protein ligase activity	1.45551308174	0.479876027249	7
Os01g0106800	CC	0005737	cytoplasm	0.0426157197407	0.334674471203	13
Os01g0106800	CC	0016021	integral component of membrane	0.01643838746	0.32331642233	14
Os01g0106800	MF	0016301	kinase activity	0.0929216177234	0.348961384788	16
Os01g0106800	MF	0005524	ATP binding	0.0646895439993	0.341630370208	18
Os01g0106800	BP	0016310	phosphorylation	0.0839886536502	0.346780115785	30
Os01g0106900	MF	0030604	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity	11.6625529274	0.80056497141	1
Os01g0106900	BP	0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	9.02554378815	0.740917721679	1
Os01g0106900	CC	0009570	chloroplast stroma	1.02313534849	0.451570022393	1
Os01g0106900	MF	0070402	NADPH binding	11.3794083413	0.79450865778	2
Os01g0106900	MF	0046872	metal ion binding	2.56702006468	0.537338317361	7
Os01g0106900	CC	0016021	integral component of membrane	0.00454294858927	0.314486683137	11
Os01g0106900	MF	0016853	isomerase activity	2.45205148991	0.532069082427	12
Os01g0106900	BP	0051483	terpenoid biosynthetic process, mevalonate-independent	2.92370268996	0.552975131176	23
Os01g0106900	BP	0046686	response to cadmium ion	1.33702302247	0.472594341369	29
Os01g0107000	BP	0016560	protein import into peroxisome matrix, docking	13.8237135133	0.843714550055	1
Os01g0107000	CC	0005778	peroxisomal membrane	11.0528715157	0.787429875066	1
Os01g0107000	MF	0005102	signaling receptor binding	1.20343993825	0.463986447495	1
Os01g0107000	CC	1990429	peroxisomal importomer complex	2.45133363249	0.532035797945	9
Os01g0107000	CC	0016021	integral component of membrane	0.518654635364	0.40926967258	17
Os01g0107000	CC	0005829	cytosol	0.0313102881942	0.330392723842	20
Os01g0107000	CC	0005739	mitochondrion	0.0210490857143	0.325766056016	22
Os01g0107000	CC	0005886	plasma membrane	0.0120243147551	0.320621969381	23
Os01g0107700	BP	0006486	protein glycosylation	8.0376980488	0.716354113876	1
Os01g0107700	CC	0005794	Golgi apparatus	6.75188967176	0.681993466714	1
Os01g0107700	MF	0016757	glycosyltransferase activity	5.22668140567	0.636655317992	1
Os01g0107700	CC	0098588	bounding membrane of organelle	1.95480848106	0.507710604153	7
Os01g0107700	CC	0031984	organelle subcompartment	1.79679378936	0.499332667692	9
Os01g0107700	CC	0016021	integral component of membrane	0.8481071402	0.438418647769	14
Os01g0107700	CC	0005938	cell cortex	0.0866996648419	0.347453859497	19
Os01g0107700	CC	0005783	endoplasmic reticulum	0.0600999071041	0.340296190042	21
Os01g0107700	BP	0097036	regulation of plasma membrane sterol distribution	0.171605054099	0.36484944904	28
Os01g0107700	BP	0032366	intracellular sterol transport	0.117155808032	0.354399100464	29
Os01g0107700	BP	0016125	sterol metabolic process	0.0959698799482	0.349681516401	34
Os01g0107700	BP	0006665	sphingolipid metabolic process	0.0908055357713	0.348454505401	35
Os01g0107900	BP	0010343	singlet oxygen-mediated programmed cell death	16.5099197406	0.859563350902	1
Os01g0107900	CC	0042651	thylakoid membrane	2.13456914144	0.516839592231	1
Os01g0107900	CC	0009507	chloroplast	0.185991589206	0.367320029662	6
Os01g0107900	CC	0016021	integral component of membrane	0.0192809957207	0.324861894852	13
Os01g0108200	MF	0004252	serine-type endopeptidase activity	6.97391606404	0.688146673391	1
Os01g0108200	BP	0006508	proteolysis	4.19935224139	0.602248502398	1
Os01g0108200	CC	0005829	cytosol	1.00650095292	0.450371204603	1
Os01g0108200	CC	0009507	chloroplast	0.0993816528747	0.350474090519	4
Os01g0108200	MF	0070012	oligopeptidase activity	2.8766928264	0.550971049713	7
Os01g0108200	CC	0005739	mitochondrion	0.0261654825966	0.328187186213	10
Os01g0108400	BP	0006357	regulation of transcription by RNA polymerase II	6.3723278316	0.671235185987	1
Os01g0108400	MF	0046983	protein dimerization activity	6.24625122707	0.667591119305	1
Os01g0108400	CC	0090575	RNA polymerase II transcription regulator complex	1.58863102311	0.487711396928	1
Os01g0108400	MF	0003700	DNA-binding transcription factor activity	4.2502071018	0.604044761664	3
Os01g0108400	MF	0003677	DNA binding	2.89855964881	0.551905277084	5
Os01g0108400	MF	0001067	transcription regulatory region nucleic acid binding	1.5486633174	0.485394578411	9
Os01g0108400	CC	0016021	integral component of membrane	0.0198331107285	0.325148527253	11
Os01g0108600	BP	0006357	regulation of transcription by RNA polymerase II	6.91495826566	0.68652239551	1
Os01g0108600	MF	0046983	protein dimerization activity	6.77814570961	0.682726344481	1
Os01g0108600	CC	0090575	RNA polymerase II transcription regulator complex	2.37047623785	0.528255016364	1
Os01g0108600	MF	0003700	DNA-binding transcription factor activity	4.61213005766	0.616529636967	3
Os01g0108600	MF	0003677	DNA binding	3.14538415658	0.562215552906	5
Os01g0108600	MF	0001067	transcription regulatory region nucleic acid binding	2.31083841428	0.525424939057	8
Os01g0108600	BP	0050832	defense response to fungus	0.0526277044856	0.338009938439	20
Os01g0109300	MF	0016787	hydrolase activity	2.48495028526	0.533589288221	1
Os01g0109300	BP	0006203	dGTP catabolic process	1.85388885841	0.502400816785	1
Os01g0109300	CC	0005634	nucleus	0.613548731937	0.418434218498	1
Os01g0109300	MF	0005524	ATP binding	2.23390575464	0.521719640543	2
Os01g0109300	CC	0016021	integral component of membrane	0.0165159280695	0.323360277922	7
Os01g0109300	MF	0046872	metal ion binding	0.0200325879082	0.32525110343	23
Os01g0109700	MF	0003714	transcription corepressor activity	11.0958385185	0.788367248549	1
Os01g0109700	BP	0045892	negative regulation of transcription, DNA-templated	7.87238661164	0.712098873131	1
Os01g0109700	CC	0005634	nucleus	2.94942882565	0.554065045482	1
Os01g0109700	CC	0000785	chromatin	0.431950647106	0.400129726873	8
Os01g0109700	CC	0070013	intracellular organelle lumen	0.316918967726	0.386441147981	13
Os01g0109700	CC	1902494	catalytic complex	0.266215443241	0.379617493541	16
Os01g0109700	CC	0016021	integral component of membrane	0.0363047898367	0.332366140611	20
Os01g0109700	BP	0016575	histone deacetylation	0.583197414326	0.415585411187	34
Os01g0109700	BP	0006357	regulation of transcription by RNA polymerase II	0.362389358906	0.392108634295	42
Os01g0110100	BP	0006817	phosphate ion transport	7.77421423245	0.709550675721	1
Os01g0110100	MF	0000822	inositol hexakisphosphate binding	2.83821824166	0.54931861891	1
Os01g0110100	CC	0005794	Golgi apparatus	1.19880895718	0.46367967542	1
Os01g0110100	MF	0015114	phosphate ion transmembrane transporter activity	1.86293645967	0.502882652865	3
Os01g0110100	CC	0016021	integral component of membrane	0.900542752264	0.442490343884	3
Os01g0110100	BP	0016036	cellular response to phosphate starvation	3.24931028552	0.566435245471	5
Os01g0110100	CC	0005886	plasma membrane	0.440511472555	0.401070747617	8
Os01g0110100	MF	0052832	inositol monophosphate 3-phosphatase activity	0.33170960218	0.388326830689	12
Os01g0110100	MF	0052833	inositol monophosphate 4-phosphatase activity	0.331653593444	0.38831977025	13
Os01g0110100	MF	0008934	inositol monophosphate 1-phosphatase activity	0.32863644389	0.387938544509	14
Os01g0110100	BP	0098661	inorganic anion transmembrane transport	1.40958808429	0.477090260643	17
Os01g0110100	BP	0016311	dephosphorylation	0.177049590777	0.365796183222	28
Os01g0110400	MF	0016747	acyltransferase activity, transferring groups other than amino-acyl groups	5.53727903576	0.646376272811	1
Os01g0110400	BP	0006635	fatty acid beta-oxidation	0.927339548253	0.444525379633	1
Os01g0110400	CC	0016021	integral component of membrane	0.0156801714784	0.322882015358	1
Os01g0110500	MF	0004674	protein serine/threonine kinase activity	6.03099887678	0.661283497317	1
Os01g0110500	BP	0006468	protein phosphorylation	5.29236467021	0.63873463299	1
Os01g0110500	CC	0016021	integral component of membrane	0.841020431045	0.437858805148	1
Os01g0110500	MF	0005524	ATP binding	3.02271050145	0.557143907454	7
Os01g0110700	MF	0008964	phosphoenolpyruvate carboxylase activity	11.8263380241	0.804034715012	1
Os01g0110700	BP	0015977	carbon fixation	8.6810178871	0.732510994897	1
Os01g0110700	CC	0005737	cytoplasm	1.47697871084	0.481163030802	1
Os01g0110700	BP	0006099	tricarboxylic acid cycle	7.31945205847	0.697531134875	2
Os01g0110700	CC	0016021	integral component of membrane	0.00690343213478	0.316764217166	5
Os01g0110700	MF	0046982	protein heterodimerization activity	0.0600648339723	0.340285801905	7
Os01g0110700	MF	0016435	rRNA (guanine) methyltransferase activity	0.0446095280996	0.335367645252	8
Os01g0110700	BP	0015979	photosynthesis	0.408212218686	0.397470439985	11
Os01g0110700	BP	0070476	rRNA (guanine-N7)-methylation	0.0482357838913	0.33658976264	13
Os01g0110700	MF	0016301	kinase activity	0.00255334276459	0.312037044885	20
